Posted Date,Description,Amount,Balance
7/4/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-6.24,
7/4/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-10.76,
7/5/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-11.74,
7/6/2026,"CHIPOTLE 0421 FOLSOM CA",-25.44,
7/7/2026,"SPOTIFY USA 877-778-1161 NY",-11.99,
7/7/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-171.96,
7/7/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-9.38,
7/8/2026,"TARGET 00021456 SACRAMENTO CA",-89.07,
7/9/2026,"SMUD ONLINE PMT",-171.00,
7/9/2026,"DOORDASH*THAI BASIL 855-431-0459",-22.18,
7/10/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
7/10/2026,"DOORDASH*THAI BASIL 855-431-0459",-50.46,
7/11/2026,"CVS/PHARMACY #09812 FOLSOM CA",-25.64,
7/12/2026,"CHIPOTLE 0421 FOLSOM CA",-15.83,
7/12/2026,"CHEVRON 0093749 FOLSOM CA",-35.38,
7/14/2026,"ADOBE SYSTEMS 408-536-6000 CA",-59.99,
7/14/2026,"PLANET FITNESS 8446807300 NH",-24.99,
7/14/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-65.95,
7/15/2026,"TARGET 00021456 SACRAMENTO CA",-60.07,
7/16/2026,"TRANSFER TO SAVINGS ****8890",-400.00,
7/16/2026,"DOORDASH*THAI BASIL 855-431-0459",-41.46,
7/16/2026,"CVS/PHARMACY #09812 FOLSOM CA",-58.73,
7/17/2026,"DOORDASH*THAI BASIL 855-431-0459",-23.93,
7/18/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-6.58,
7/19/2026,"SAFEWAY #1234 ROSEVILLE CA",-109.59,
7/20/2026,"COMCAST XFINITY 800-266-2278",-89.00,
7/20/2026,"DOORDASH*THAI BASIL 855-431-0459",-49.91,
7/21/2026,"T-MOBILE POSTPAID 800-937-8997",-45.00,
7/22/2026,"CHIPOTLE 0421 FOLSOM CA",-27.05,
7/23/2026,"DOORDASH*THAI BASIL 855-431-0459",-35.33,
7/23/2026,"CHEVRON 0093749 FOLSOM CA",-47.54,
7/24/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
7/24/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-132.38,
7/25/2026,"TARGET 00021456 SACRAMENTO CA",-111.73,
7/26/2026,"CHIPOTLE 0421 FOLSOM CA",-19.88,
7/26/2026,"DOORDASH*THAI BASIL 855-431-0459",-28.94,
7/27/2026,"CVS/PHARMACY #09812 FOLSOM CA",-57.98,
7/28/2026,"SAFEWAY #1234 ROSEVILLE CA",-72.88,
7/28/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-11.31,
7/30/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-6.72,
7/30/2026,"SAFEWAY #1234 ROSEVILLE CA",-93.93,
8/1/2026,"RENT PAYMENT PROPERTY MGMT LLC",-1850.00,
8/1/2026,"SAFEWAY #1234 ROSEVILLE CA",-121.11,
8/2/2026,"NETFLIX.COM 866-579-7172 CA",-22.99,
8/2/2026,"CVS/PHARMACY #09812 FOLSOM CA",-52.45,
8/2/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-83.18,
8/3/2026,"TRADER JOES #178 SACRAMENTO CA",-36.68,
8/4/2026,"CHIPOTLE 0421 FOLSOM CA",-14.43,
8/4/2026,"CVS/PHARMACY #09812 FOLSOM CA",-57.28,
8/5/2026,"CHIPOTLE 0421 FOLSOM CA",-18.95,
8/5/2026,"DOORDASH*THAI BASIL 855-431-0459",-31.19,
8/6/2026,"CHEVRON 0093749 FOLSOM CA",-33.14,
8/7/2026,"SPOTIFY USA 877-778-1161 NY",-11.99,
8/7/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
8/7/2026,"CHIPOTLE 0421 FOLSOM CA",-11.85,
8/8/2026,"CHIPOTLE 0421 FOLSOM CA",-14.68,
8/9/2026,"SMUD ONLINE PMT",-133.00,
8/9/2026,"SAFEWAY #1234 ROSEVILLE CA",-57.20,
8/10/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-11.48,
8/10/2026,"CHIPOTLE 0421 FOLSOM CA",-24.91,
8/11/2026,"TARGET 00021456 SACRAMENTO CA",-110.83,
8/12/2026,"ADOBE SYSTEMS 408-536-6000 CA",-59.99,
8/12/2026,"CVS/PHARMACY #09812 FOLSOM CA",-51.02,
8/13/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-101.13,
8/13/2026,"DOORDASH*THAI BASIL 855-431-0459",-45.92,
8/14/2026,"PLANET FITNESS 8446807300 NH",-24.99,
8/15/2026,"TRADER JOES #178 SACRAMENTO CA",-44.18,
8/16/2026,"TRANSFER TO SAVINGS ****8890",-400.00,
8/16/2026,"CVS/PHARMACY #09812 FOLSOM CA",-56.22,
8/17/2026,"CHEVRON 0093749 FOLSOM CA",-31.02,
8/18/2026,"COMCAST XFINITY 800-266-2278",-89.00,
8/18/2026,"TRADER JOES #178 SACRAMENTO CA",-72.62,
8/19/2026,"TARGET 00021456 SACRAMENTO CA",-24.59,
8/19/2026,"TRADER JOES #178 SACRAMENTO CA",-30.29,
8/20/2026,"CHIPOTLE 0421 FOLSOM CA",-26.66,
8/20/2026,"DOORDASH*THAI BASIL 855-431-0459",-38.95,
8/21/2026,"T-MOBILE POSTPAID 800-937-8997",-45.00,
8/21/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
8/21/2026,"CVS/PHARMACY #09812 FOLSOM CA",-8.45,
8/22/2026,"TARGET 00021456 SACRAMENTO CA",-118.29,
8/22/2026,"CHEVRON 0093749 FOLSOM CA",-50.21,
8/23/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-138.63,
8/23/2026,"CVS/PHARMACY #09812 FOLSOM CA",-48.23,
8/23/2026,"AMAZON.COM REFUND",63.48,
8/25/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-72.07,
8/25/2026,"CVS/PHARMACY #09812 FOLSOM CA",-36.75,
8/26/2026,"CHIPOTLE 0421 FOLSOM CA",-26.97,
8/26/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-9.15,
8/27/2026,"TRADER JOES #178 SACRAMENTO CA",-84.55,
8/28/2026,"CVS/PHARMACY #09812 FOLSOM CA",-40.04,
8/29/2026,"CHEVRON 0093749 FOLSOM CA",-40.72,
8/30/2026,"DOORDASH*THAI BASIL 855-431-0459",-23.21,
8/31/2026,"TRADER JOES #178 SACRAMENTO CA",-35.23,
9/1/2026,"RENT PAYMENT PROPERTY MGMT LLC",-1850.00,
9/1/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-160.47,
9/1/2026,"CHEVRON 0093749 FOLSOM CA",-67.63,
9/2/2026,"NETFLIX.COM 866-579-7172 CA",-22.99,
9/2/2026,"TRADER JOES #178 SACRAMENTO CA",-72.44,
9/3/2026,"CHEVRON 0093749 FOLSOM CA",-51.39,
9/3/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-110.63,
9/4/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
9/4/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-133.82,
9/4/2026,"CHIPOTLE 0421 FOLSOM CA",-15.98,
9/5/2026,"TARGET 00021456 SACRAMENTO CA",-77.41,
9/6/2026,"TRADER JOES #178 SACRAMENTO CA",-57.82,
9/7/2026,"SPOTIFY USA 877-778-1161 NY",-11.99,
9/7/2026,"CHEVRON 0093749 FOLSOM CA",-34.17,
9/8/2026,"TARGET 00021456 SACRAMENTO CA",-128.86,
9/9/2026,"SMUD ONLINE PMT",-150.00,
9/9/2026,"CVS/PHARMACY #09812 FOLSOM CA",-8.25,
9/10/2026,"ADOBE SYSTEMS 408-536-6000 CA",-59.99,
9/10/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-7.27,
9/10/2026,"DOORDASH*THAI BASIL 855-431-0459",-30.18,
9/11/2026,"CVS/PHARMACY #09812 FOLSOM CA",-28.94,
9/12/2026,"TARGET 00021456 SACRAMENTO CA",-91.25,
9/13/2026,"TRADER JOES #178 SACRAMENTO CA",-36.02,
9/13/2026,"CVS/PHARMACY #09812 FOLSOM CA",-15.38,
9/14/2026,"PLANET FITNESS 8446807300 NH",-24.99,
9/14/2026,"DOORDASH*THAI BASIL 855-431-0459",-42.95,
9/14/2026,"SAFEWAY #1234 ROSEVILLE CA",-73.03,
